Domain,Receive_Time,Serial_#,Type,Threat/Content_Type,Config_Version,Generate_Time,Source_address,Destination_address,NAT_Source_IP,NAT_Destination_IP,Rule,Source_User,Destination_User,Application,Virtual_System,Source_Zone,Destination_Zone,Inbound_Interface,Outbound_Interface,Log_Action,Time_Logged,Session_ID,Repeat_Count,Source_Port,Destination_Port,NAT_Source_Port,NAT_Destination_Port,Flags,IP_Protocol,Action,Bytes,Bytes_Sent,Bytes_Received,Packets,Start_Time,Elapsed_Time_(sec),Category,Padding,Sequence_Number,Action_Flags,Source_Country,Destination_Country,cpadding,pkts_sent,pkts_received,session_end_reason,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,Virtual_System_Name,Device_Name,action_source,Source_VM_UUID,Destination_VM_UUID,Tunnel_ID/IMSI,Monitor_Tag/IMEI,Parent_Session_ID,parent_start_time,tunnel
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.56.52.14,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,391,1,43507,40018,0,0,0x4050,udp,allow,138,76,62,2,5/31/17 0:35,0,any,0,15231449,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.56.52.31,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,525,1,43507,40016,0,0,0x4050,udp,allow,137,75,62,2,5/31/17 0:35,0,any,0,15231448,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.165,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,522,1,43507,40024,0,0,0x4050,udp,allow,552,75,477,2,5/31/17 0:35,0,any,0,15231447,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.56.146,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,521,1,43507,40026,0,0,0x4050,udp,allow,137,75,62,2,5/31/17 0:35,0,any,0,15231446,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.176,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,516,1,43507,40028,0,0,0x4050,udp,allow,138,76,62,2,5/31/17 0:35,0,any,0,15231445,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,64.4.23.170,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,515,1,43507,40015,0,0,0x4050,udp,allow,601,76,525,2,5/31/17 0:35,0,any,0,15231444,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,65.55.223.46,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,512,1,43507,40032,0,0,0x4050,udp,allow,137,75,62,2,5/31/17 0:35,0,any,0,15231443,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.144,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,505,1,43507,40013,0,0,0x4050,udp,allow,137,75,62,2,5/31/17 0:35,0,any,0,15231442,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,111.221.77.172,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,502,1,43507,40025,0,0,0x4050,udp,allow,138,76,62,2,5/31/17 0:35,0,any,0,15231441,0x0,192.168.0.0-192.168.255.255,Hong Kong,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,111.221.77.141,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,501,1,43507,40034,0,0,0x4050,udp,allow,137,75,62,2,5/31/17 0:35,0,any,0,15231440,0x0,192.168.0.0-192.168.255.255,Hong Kong,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.56.52.44,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,494,1,43507,40001,0,0,0x4050,udp,allow,138,76,62,2,5/31/17 0:35,0,any,0,15231439,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,36.66.188.251,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,493,1,43507,40028,0,0,0x4050,udp,allow,145,83,62,2,5/31/17 0:35,0,any,0,15231438,0x0,192.168.0.0-192.168.255.255,Hong Kong,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.146,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,488,1,43507,40032,0,0,0x4050,udp,allow,279,185,94,2,5/31/17 0:35,0,any,0,15231437,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,185.7.214.212,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,487,1,43507,40035,0,0,0x4050,udp,allow,244,181,63,2,5/31/17 0:35,0,any,0,15231436,0x0,192.168.0.0-192.168.255.255,Hong Kong,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.56.52.15,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,482,1,43507,40005,0,0,0x4050,udp,allow,139,77,62,2,5/31/17 0:35,0,any,0,15231435,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.150,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,481,1,43507,40030,0,0,0x4050,udp,allow,138,76,62,2,5/31/17 0:35,0,any,0,15231434,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.52,111.221.77.170,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,478,1,43507,40011,0,0,0x4050,udp,allow,1268,76,1192,2,5/31/17 0:35,0,any,0,15231433,0x0,192.168.0.0-192.168.255.255,Hong Kong,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,176.78.108.235,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,475,1,43507,40029,0,0,0x4050,udp,allow,620,75,545,2,5/31/17 0:35,0,any,0,15231432,0x0,192.168.0.0-192.168.255.255,Hong Kong,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,36.66.188.251,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,472,1,43507,40004,0,0,0x4050,udp,allow,239,176,63,2,5/31/17 0:35,0,any,0,15231431,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.52,5.152.175.57,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/2/17 0:36,469,1,43507,40006,0,0,0x4050,udp,allow,143,81,62,2,5/31/17 0:35,0,any,0,15231430,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
